25.912,8
57.5271,27
253.321,216
646.914,600
2233.47,2400
3801.21,5000
4.11324,6400
4.11324,6400
34.1771,6400
321.061,6400
325.302,6400
325.302,6400
325.302,6400
554.711,6400
558.678,6400
554.711,6400
58.7328,6400
58.7328,6400
58.7328,6400
48.7428,6400
58.7328,6400
58.7328,6400
58.7328,6400
58.7328,6400
552.757,6400
554.711,6400
58.7328,6400
554.711,6400
564.23,6400
564.23,6400
247.221,4000
2408.6,4000
4838.57,4000
4838.57,4000
50.2042,4000
50.2042,4000
0,4000
36.2599,4000
2.24929,4000
26.1865,4000
194.806,4000
93.1149,4000
2689.76,4000
19.7667,4000
167.108,4000
26.1325,4000
24.433,4000
29.0717,4000
31.4766,4000
28.4768,4000
23.7916,4000
246.283,4000
272.655,4000
256.809,4000
30.7994,4000
267.161,4000
4507.2,4000
